County_State,pct_hesitant_02-24-22,pct_somewhat_hesitant_02-24-22,pct_highly_hesitant_02-24-22,null_pct,uninsured_pct,socio_wgt,hh_wgt,minority_wgt,housing_wgt,overall_wgt,FIPS,Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_030121,Booster_Doses_Vax_Pct_030121,Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_090121,Booster_Doses_Vax_Pct_090121,Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_030122,Booster_Doses_Vax_Pct_030122,SVI_CTGY,Metro_status,Census2019,Census2019_65PlusPop,Census2019_18to64Pop,state,candidate_won,pct_trump,pct_biden,hesitant_x_nzip,somewhat_hesitant_x_nzip,highly_hesitant_x_nzip,Census2019_Pct_65Plus
abbeville_sc,0.293,0.108,0.185,0.0,0.1151397169160887,0.7996462748915115,0.7933535304376039,0.3522141217504157,0.6742094780386909,0.7523021941030945,45001,16.2,10.2,0.0,36.8,32.5,0.0,44.5,39.7,43.9,4.0,0.0,24527.0,5483.0,14184.0,SC,1.0,0.661,0.339,3.8089999999999997,1.404,2.405,0.22354955763036655
acadia parish_la,0.29,0.083,0.207,0.0,0.1133326940288965,0.784555579529472,0.737875346822657,0.3234094712952308,0.7091665068405575,0.7311749200869454,22001,13.1,6.6,0.0,48.6,39.4,0.0,58.6,52.3,34.1,4.0,1.0,62045.0,9796.0,36244.0,LA,1.0,0.795,0.205,4.35,1.245,3.105,0.15788540575388832
accomack_va,0.214,0.087,0.126,0.2727272727272727,0.166147455867082,0.6459355506688657,0.6526003451224727,0.6163166788833914,0.6778905137132735,0.7098665933663184,51001,20.7,10.4,0.0,61.4,53.5,0.0,81.4,71.8,42.1,4.0,0.0,32316.0,7934.0,17692.0,VA,1.0,0.541,0.459,7.062,2.871,4.158,0.24551305854684985
ada_id,0.165,0.037,0.128,0.0,0.0814815313012832,0.3113567386762081,0.3764148673248859,0.3361263332526252,0.4048140071112785,0.305790407396447,16001,17.7,10.5,0.0,53.0,48.0,0.0,70.7,63.7,45.6,1.0,1.0,481587.0,71958.0,297899.0,ID,1.0,0.504,0.496,2.805,0.629,2.176,0.14941848513352726
adair_ia,0.29,0.059,0.231,0.0,0.0621841661987647,0.3042199747332959,0.723457299270073,0.0575889949466591,0.4579240595171251,0.3267021897810219,19001,17.1,3.8,0.0,45.9,42.2,0.0,52.9,48.9,57.7,1.0,0.0,7152.0,1648.0,3945.0,IA,1.0,0.698,0.302,3.7699999999999996,0.7669999999999999,3.003,0.23042505592841164
adair_ky,0.338,0.113,0.224,0.0,0.0678239176757964,0.7836824125565199,0.5535394418169534,0.1194373785146302,0.6114544254456629,0.6097647471545138,21001,10.2,4.3,0.0,35.7,30.5,0.0,43.9,38.8,41.3,3.0,0.0,19202.0,3695.0,11690.0,KY,1.0,0.83,0.17,3.3800000000000003,1.1300000000000001,2.24,0.1924278720966566
adair_mo,0.266,0.062,0.204,0.0,0.0836327739387956,0.6515810582428431,0.3670075695952616,0.3222135478775913,0.5436394985192498,0.4985752142152024,29001,17.6,6.0,0.0,42.6,37.4,0.0,51.5,44.4,44.1,2.0,0.0,25343.0,3829.0,16980.0,MO,1.0,0.62,0.38,2.394,0.558,1.8359999999999999,0.15108708519117706
adair_ok,0.381,0.115,0.267,0.0,0.2658617103061547,0.8094466603355492,0.8823092072536517,0.5746377334599557,0.6180203002758559,0.8122278388278388,40001,12.7,6.8,0.0,34.6,24.7,0.0,53.2,35.5,30.8,4.0,0.0,22194.0,3515.0,12684.0,OK,1.0,0.786,0.214,3.048,0.92,2.136,0.1583761376948725
adams_co,0.132,0.031,0.101,0.0103092783505154,0.1097190790863281,0.4891852746346419,0.4570926886132987,0.7035488474497853,0.4483759075867757,0.5104295088661578,08001,0.7,0.3,0.0,59.6,54.0,0.0,72.8,67.2,44.7,3.0,1.0,517421.0,55528.0,326702.0,CO,0.0,0.433,0.567,4.488,1.054,3.434,0.10731686576308268
adams_ia,0.219,0.051,0.168,0.0,0.0542136339237788,0.3356062533548041,0.5159227858293076,0.0692685990338164,0.520156333870102,0.3183411969940955,19003,23.1,6.2,0.0,49.7,46.0,0.0,59.5,56.1,55.4,1.0,0.0,3602.0,852.0,1996.0,IA,1.0,0.708,0.292,2.19,0.51,1.6800000000000002,0.23653525818989452
adams_id,0.321,0.067,0.255,0.0,0.1647175914406568,0.5796271709380443,0.7404961433192335,0.1166754416521522,0.5193862154764867,0.5060283901468027,16003,14.0,4.6,0.0,38.2,34.6,0.0,47.6,43.5,47.3,2.0,0.0,4294.0,1284.0,2265.0,ID,1.0,0.751,0.249,1.605,0.335,1.275,0.29902189101071264
adams_il,0.351,0.067,0.283,0.0,0.0459150646574435,0.4028554894846975,0.6575608005780782,0.114209335059539,0.4266583015942312,0.3626223704216659,17001,28.9,19.3,0.0,52.0,42.7,0.0,56.2,51.5,42.6,1.0,0.0,65435.0,13513.0,37161.0,IL,1.0,0.722,0.278,7.7219999999999995,1.4740000000000002,6.225999999999999,0.20651027737449376
adams_in,0.316,0.056,0.26,0.0,0.1863901122318511,0.5765903196476773,0.5438497229720131,0.1973777155846001,0.6247739508452905,0.534507131694843,18001,12.9,8.1,0.0,31.1,28.6,0.0,35.9,32.6,46.3,3.0,0.0,35777.0,5681.0,18860.0,IN,1.0,0.752,0.248,2.528,0.448,2.08,0.15878916622411046
adams_ms,0.278,0.129,0.148,0.0,0.1359558753605731,0.8517010777569975,0.7192778837924367,0.6152492566646591,0.6355219165055315,0.79809977493898,28001,17.3,7.2,0.0,49.7,40.9,0.0,63.3,53.3,36.9,4.0,0.0,30693.0,6005.0,18585.0,MS,0.0,0.425,0.575,0.556,0.258,0.296,0.19564721597758447
adams_nd,0.262,0.062,0.2,0.0,0.068481497235219,0.168,0.3735,0.0761,0.6252,0.241,38001,29.0,16.4,0.0,46.4,41.0,0.0,56.1,48.3,53.1,1.0,0.0,2216.0,632.0,1157.0,ND,1.0,0.773,0.227,1.572,0.372,1.2000000000000002,0.2851985559566787
adams_ne,0.279,0.075,0.204,0.0,0.0700376784979261,0.4192500839058987,0.5531671563815976,0.37354145901276,0.4817236646297058,0.4329309438622044,31001,2.0,1.0,0.0,0.0,34.6,0.0,0.0,41.7,62.6,2.0,0.0,31363.0,5916.0,18104.0,NE,1.0,0.688,0.312,3.3480000000000003,0.8999999999999999,2.448,0.1886299142301438
adams_oh,0.256,0.1,0.156,0.0,0.0863763541143554,0.7815868893033934,0.9150530561733268,0.0616001650046631,0.6340874739938303,0.6907698184948705,39001,7.7,3.8,0.0,23.9,23.1,0.0,38.6,34.5,40.4,4.0,0.0,27698.0,5112.0,15999.0,OH,1.0,0.813,0.187,2.56,1.0,1.56,0.1845620622427612
adams_pa,0.201,0.067,0.134,0.0,0.0568891328425943,0.4245921400076453,0.5171561275398685,0.2750072287621419,0.442481610029111,0.3926238799094322,42001,10.3,4.2,0.0,51.6,45.6,0.0,62.4,54.8,46.5,1.0,1.0,103009.0,21730.0,60882.0,PA,1.0,0.662,0.338,3.4170000000000003,1.139,2.278,0.2109524410488404
adams_wa,0.226,0.064,0.162,0.0,0.1932449105490438,0.8158426691342793,0.7033186150524368,0.814253475221057,0.7897351531976147,0.8620751233806292,53001,11.0,6.6,0.0,48.8,42.4,0.0,65.1,58.7,33.4,4.0,0.0,19983.0,2264.0,10550.0,WA,1.0,0.666,0.334,2.2600000000000002,0.64,1.62,0.11329630185657809
adams_wi,0.303,0.06,0.243,0.0,0.0507647088128331,0.6304679918298212,0.5990960942559658,0.2178586708513924,0.535983774224082,0.5285751855726598,55001,17.8,6.1,0.0,51.3,47.3,0.0,60.8,56.2,56.7,3.0,0.0,20220.0,6098.0,11274.0,WI,1.0,0.623,0.377,4.242,0.84,3.402,0.3015825914935707
addison_vt,0.117,0.013,0.105,0.0,0.0426649340805111,0.324594932185495,0.4637560410406345,0.1439958796935488,0.4513814640353014,0.3008425187471236,50001,13.7,7.1,0.0,66.9,60.5,0.0,79.1,70.3,62.6,1.0,0.0,36777.0,7598.0,23123.0,VT,0.0,0.489,0.511,2.2230000000000003,0.247,1.9949999999999999,0.20659651412567637
aiken_sc,0.219,0.054,0.166,0.0303030303030303,0.1115823778201119,0.5909123785389934,0.6022707355355068,0.4490634676443454,0.5082652666451002,0.5622889885338413,45003,12.9,6.1,0.0,43.3,35.9,0.0,55.3,45.2,36.2,3.0,1.0,170872.0,33992.0,100341.0,SC,1.0,0.606,0.394,5.037,1.242,3.818,0.19893253429467672
